web_scraper_order,web_scraper_start_url,pagination-selector,Name,Name2,Name3,Name4,Price,Score,Prev race pts.
1763925487-241,https://fantasy.skiclassics.com/athletes,,Ask Tveiten,NTNUI Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/NTNUI-SKI-TEAM-Race-suite-picture.jpg,Youth,$238,0 p.,-
1763925487-242,https://fantasy.skiclassics.com/athletes,,Aaron Gunnarsson,Cibes Lift Ski-Willy Marathon Team,https://skiclassics.com/wp-content/uploads/2023/03/RaceSuit_SkiWillyMarathonTeamAUT.svg,Youth,$241,0 p.,-
1763925487-243,https://fantasy.skiclassics.com/athletes,,Espen Benjaminsen,Team Synnfjell,https://skiclassics.com/wp-content/uploads/2023/03/Team-Synnfjell-race-suit-template.png,Youth,$237,0 p.,-
1763925487-244,https://fantasy.skiclassics.com/athletes,,Theodor Danielsson,Team Synnfjell,https://skiclassics.com/wp-content/uploads/2023/03/Team-Synnfjell-race-suit-template.png,,$233,0 p.,-
1763925487-245,https://fantasy.skiclassics.com/athletes,,Oskar Fjellheim,Team Synnfjell,https://skiclassics.com/wp-content/uploads/2023/03/Team-Synnfjell-race-suit-template.png,Youth,$300,0 p.,-
1763925487-246,https://fantasy.skiclassics.com/athletes,,Anton Schaper,Bruse Sauerland Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png,Youth,$243,0 p.,-
1763925487-247,https://fantasy.skiclassics.com/athletes,,Julie Kvale Støstad,Team Ramudden,https://skiclassics.com/wp-content/uploads/2023/03/Race-Suit_Ramudden_new-kopia2.svg,,$7 185,0 p.,-
1763925487-248,https://fantasy.skiclassics.com/athletes,,Tova Andersson,Team Ramudden,https://skiclassics.com/wp-content/uploads/2023/03/Race-Suit_Ramudden_new-kopia2.svg,Youth,$1 576,0 p.,-
1763925487-249,https://fantasy.skiclassics.com/athletes,,Jenny Larsson,Lager 157 Ski Team,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_LAGER-157-SKI-TEAM.png,,$14 456,0 p.,-
1763925487-250,https://fantasy.skiclassics.com/athletes,,Stina Nilsson,Team Ragde Charge,https://skiclassics.com/wp-content/uploads/2023/03/Aukland-Coaching-AS_2024.svg,,$13 890,0 p.,-
1763925487-251,https://fantasy.skiclassics.com/athletes,,Louise Lindström,Team Eksjöhus,https://skiclassics.com/wp-content/uploads/2024/11/Team-Eksjohus_VSC_template_2024-e1731396346500.png,Youth,$16 289,0 p.,-
1763925487-252,https://fantasy.skiclassics.com/athletes,,Margaux Gaillard,Team Futura GTE Trentino,https://skiclassics.com/wp-content/uploads/2023/03/Team-Futura-Trentino-Gte-elettrica.svg,Youth,$3 193,0 p.,-
